Regione,Provincia,Lon,Lat,media_yy
Piemonte,Torino,7.72333333333333,44.8552777777778,61.0
Piemonte,Torino,7.5602,45.1758,38.0
Piemonte,Torino,6.8359,45.0348,27.0
Piemonte,Torino,7.6782,45.0758,67.0
Piemonte,Torino,7.6491,45.0249,64.0
Piemonte,Vercelli,8.2835,45.7132,32.0
Piemonte,Vercelli,8.4151,45.3284,41.0
Piemonte,Novara,8.60833333333333,45.4375,47.0
Piemonte,Novara,8.6206,45.4383,49.0
Piemonte,Novara,8.63555555555556,45.595,45.0
Piemonte,Cuneo,8.0333,44.7037,47.0
Piemonte,Cuneo,7.5382,44.3818,47.0
Piemonte,Cuneo,8.1695,44.4122,39.0
Piemonte,Asti,8.2055,44.9089,46.0
Piemonte,Asti,7.94083333333333,45.0175,43.0
Piemonte,Alessandria,8.6232,44.9203,50.0
Piemonte,Alessandria,8.4452,45.1361,45.0
Piemonte,Biella,8.0564,45.5588,38.0
Piemonte,Biella,8.05111111111111,45.5641666666667,38.0
Piemonte,Biella,8.1876,45.569,36.0
Piemonte,Biella,8.18861111111111,45.6533333333333,25.0
Piemonte,Verbano-Cusio-Ossola,8.5655,45.9303,29.0
Valle d'Aosta,Aosta,7.32417,45.73583,33.0
Valle d'Aosta,Aosta,7.34256,45.7373,34.0
Valle d'Aosta,Aosta,6.97333333333333,45.7919444444444,21.0
Valle d'Aosta,Aosta,7.03694,45.7575,29.0
Lombardia,Varese,8.83449244,45.58288714,46.0
Lombardia,Varese,8.79777777777778,45.6566666666667,48.0
Lombardia,Varese,9.024167,45.626944,45.0
Lombardia,Varese,8.820278,45.816944,34.0
Lombardia,Como,9.12583,45.72722,46.0
Lombardia,Como,9.08361,45.80444,46.0
Lombardia,Como,9.22444444444444,45.8105555555556,39.0
Lombardia,Sondrio,10.3725,46.470278,24.0
Lombardia,Sondrio,9.870556,46.167222,50.0
Lombardia,Milano,9.08111111111111,45.5427777777778,55.0
Lombardia,Milano,9.516389,45.542222,56.0
Lombardia,Milano,8.8925,45.4675,46.0
Lombardia,Milano,9.22222222222222,45.4725,55.0
Lombardia,Milano,9.195833,45.462778,52.0
Lombardia,Milano,9.23583,45.47833,53.0
Lombardia,Milano,9.3275,45.482778,56.0
Lombardia,Milano,9.50638888888889,45.6172222222222,61.0
Lombardia,Bergamo,9.643889,45.690278,43.0
Lombardia,Bergamo,9.556389,45.4975,56.0
Lombardia,Bergamo,9.61888888888889,45.6588888888889,41.0
Lombardia,Bergamo,9.6115435,45.62058256,48.0
Lombardia,Bergamo,9.591389,45.518333,54.0
Lombardia,Brescia,10.22361,45.54083,50.0
Lombardia,Brescia,10.2230555555556,45.5391666666667,50.0
Lombardia,Brescia,10.219444,45.515278,53.0
Lombardia,Brescia,10.313056,45.504722,57.0
Lombardia,Brescia,10.20083,45.655,42.0
Lombardia,Pavia,9.146944,45.185556,43.0
Lombardia,Pavia,9.009444,45.000278,41.0
Lombardia,Cremona,9.67805555555555,45.3702777777778,49.0
Lombardia,Cremona,10.0333333333333,45.1383333333333,78.0
Lombardia,Cremona,10.045833,45.142222,41.0
Lombardia,Cremona,9.51166666666667,45.4677777777778,54.0
Lombardia,Mantova,10.803333,45.144444,50.0
Lombardia,Lecco,9.395833,45.849444,39.0
Lombardia,Lecco,9.40619194,45.69795956,56.0
Lombardia,Lodi,9.485556,45.305278,59.0
Lombardia,Monza e della Brianza,9.15694,45.66083,57.0
Lombardia,Monza e della Brianza,9.27444,45.58111,53.0
Trentino-Alto Adige,Bolzano,11.34183,46.48231,35.0
Trentino-Alto Adige,Bolzano,11.33997,46.49547,26.0
Trentino-Alto Adige,Bolzano,11.65408,46.71492,23.0
Trentino-Alto Adige,Bolzano,11.94403,46.79735,19.0
Trentino-Alto Adige,Bolzano,10.85906,46.61947,24.0
Trentino-Alto Adige,Bolzano,11.34014,46.43483,29.0
Trentino-Alto Adige,Bolzano,11.16163,46.662,33.0
Trentino-Alto Adige,Bolzano,11.17,46.6475,21.0
Trentino-Alto Adige,Bolzano,11.2752777777778,46.3308333333333,29.0
Trentino-Alto Adige,Bolzano,11.4258333333333,46.8947222222222,22.0
Trentino-Alto Adige,Bolzano,11.62111,46.67917,29.0
Trentino-Alto Adige,Trento,11.45389,46.05184,39.0
Trentino-Alto Adige,Trento,10.84449,45.89147,41.0
Trentino-Alto Adige,Trento,11.03941,45.89244,37.0
Trentino-Alto Adige,Trento,11.0377777777778,45.8822222222222,34.0
Trentino-Alto Adige,Trento,11.1213888888889,46.1177777777778,36.0
Trentino-Alto Adige,Trento,11.105,46.0686111111111,36.0
Trentino-Alto Adige,Trento,11.1262,46.06293,31.0
Veneto,Verona,10.96389,45.44528,57.0
Veneto,Verona,10.91222,45.4625,45.0
Veneto,Belluno,12.216944,46.141389,18.0
Veneto,Treviso,12.238611,45.6725,37.0
Veneto,Venezia,12.2372222222222,45.4975,42.0
Veneto,Venezia,12.313889,45.429444,32.0
Veneto,Padova,11.8891666666667,45.4297222222222,51.0
Veneto,Padova,11.841944,45.371944,47.0
Veneto,Rovigo,11.78333,45.07472,44.0
Friuli Venezia Giulia,Udine,13.06689,46.22101,22.0
Friuli Venezia Giulia,Udine,13.275,45.8194444444444,24.0
Friuli Venezia Giulia,Udine,13.2372222222222,46.0594444444444,29.0
Friuli Venezia Giulia,Udine,13.2344444444444,46.0711111111111,29.0
Friuli Venezia Giulia,Gorizia,13.5722222222222,45.9311111111111,30.0
Friuli Venezia Giulia,Gorizia,13.528889,45.81,18.0
Friuli Venezia Giulia,Trieste,13.75056,45.60861,29.0
Friuli Venezia Giulia,Trieste,13.7875,45.623056,30.0
Friuli Venezia Giulia,Trieste,13.77222,45.65722,26.0
Friuli Venezia Giulia,Trieste,13.78026,45.62421,28.0
Friuli Venezia Giulia,Trieste,13.78079,45.63033,33.0
Friuli Venezia Giulia,Trieste,13.77111,45.65,23.0
