Lon,Lat,media_yy
7.658,45.1546,23.0
7.8375,45.0028,22.0
7.878,45.4512,19.0
7.7116,45.1763,22.0
7.7782,45.1432,26.0
7.69534,45.10407,25.0
7.6259,45.0419,23.0
7.6491,45.0249,24.0
8.2835,45.7132,14.0
8.0434,45.2948,18.0
8.4024,45.3189,22.0
8.4584,45.6894,14.0
8.6206,45.4383,15.0
7.5382,44.3818,15.0
7.8146,44.4018,16.0
7.4262,44.7197,16.0
8.3103,44.808,19.0
8.6232,44.9203,22.0
9.0524,44.7633,11.0
8.0564,45.5588,12.0
8.1598,45.6642,10.0
8.2921,46.1276,16.0
8.5655,45.9303,11.0
7.32417,45.73583,13.0
9.024167,45.626944,22.0
8.820278,45.816944,19.0
9.08361,45.80444,18.0
9.88028,46.16861,10.0
9.198056,45.469722,25.0
9.23583,45.47833,26.0
9.643889,45.690278,20.0
9.466667,45.683333,18.0
9.556389,45.4975,23.0
9.61472,45.64389,24.0
10.22361,45.54083,20.0
10.219444,45.515278,25.0
10.1775,45.873889,22.0
9.164722,45.193889,23.0
10.016667,45.132778,23.0
10.045833,45.142222,27.0
9.864167,45.284722,30.0
10.795556,45.160556,24.0
10.69194,45.41083,22.0
11.07083,44.99694,24.0
9.395833,45.849444,13.0
9.40619194,45.69795956,20.0
9.496944,45.913056,11.0
9.485556,45.305278,17.0
9.49528589,45.30278678,21.0
9.27444,45.58111,26.0
10.85906,46.61947,13.0
11.34014,46.43483,13.0
11.45389,46.05184,19.0
11.03941,45.89244,13.0
11.1262,46.06293,14.0
11.11023,46.10434,22.0
10.91222,45.4625,21.0
11.736667,45.760833,17.0
11.539722,45.560556,22.0
12.216944,46.141389,14.0
11.905833,46.030833,18.0
12.308056,45.890556,19.0
12.510278,45.836944,21.0
12.238611,45.6725,18.0
12.591667,45.630278,22.0
12.262222,45.499167,21.0
12.205556,45.438333,23.0
11.665833,45.226667,18.0
11.841944,45.371944,24.0
11.78333,45.07472,21.0
13.24069,46.06612,15.0
13.48636,45.73162,12.0
13.52205,45.80518,14.0
13.77222,45.65722,13.0
12.65594,45.96262,16.0
8.20544,44.05259,11.0
8.28068,44.38241,17.0
8.2838,44.38325,17.0
8.29868,44.37494,16.0
8.43169,44.28709,12.0
8.47729,44.31306,15.0
8.48542,44.31538,11.0
8.43892,44.27253,13.0
8.99154,44.39489,9.0
9.84394,44.11603,10.0
9.8577,44.10666,13.0
10.019167,44.989444,22.0
9.669167,45.038333,19.0
10.288889,44.6575,11.0
10.33167,44.79361,17.0
10.733889,44.516111,16.0
10.663889,44.873056,19.0
10.664722,44.690833,17.0
11.17795,44.92784,18.0
10.90633,44.65061,15.0
10.79139,44.53944,13.0
11.355,44.48333,15.0
11.32833,44.49972,18.0
11.639444,44.662222,16.0
10.926111,44.15,5.0
11.649722,44.825,17.0
11.961111,44.839722,18.0
11.942222,44.741667,16.0
11.981381,44.526485,20.0
11.87056,44.28333,12.0
12.225556,44.42,16.0
12.048889,44.219167,14.0
12.4025,44.095833,15.0
12.553333,44.0625,19.0
12.6275,43.932778,13.0
10.573889,43.840833,21.0
10.245,43.883889,14.0
