Component 1,Component 2,labels,Regione
77.652824,-33.752712,Fair,Abruzzo
-72.36547,-71.88404,Fair,Basilicata
-57.477436,-62.4869,Fair,Calabria
-17.71218,80.87053,Fair,Campania
-21.98625,89.51567,Fair,Emilia-Romagna
10.520606,9.947773,Fair,Friuli Venezia Giulia
13.857368,-0.40917522,Fair,Lazio
-32.350346,-44.002728,Fair,Liguria
-33.87929,113.09911,Moderate,Lombardia
-63.489574,-66.26364,Fair,Marche
35.535282,-21.509672,Fair,Molise
-26.51023,98.560356,Moderate,Piemonte
-49.0566,-56.41111,Fair,Puglia
86.42814,-37.523563,Fair,Sardegna
-41.819847,-50.993206,Fair,Sicilia
13.418911,-7.584345,Fair,Toscana
7.6604443,18.778624,Fair,Trentino-Alto Adige
71.1186,-30.981441,Fair,Umbria
31.645355,-15.971092,Fair,Valle d'Aosta
-30.001978,105.528244,Moderate,Veneto
