Component 1,Component 2,labels,Regione
-25.157804,58.698544,Fair,Abruzzo
133.325,28.423418,Fair,Basilicata
124.95748,34.42454,Fair,Calabria
26.945414,-116.18948,Fair,Campania
3.4809034,-110.8241,Fair,Emilia-Romagna
-18.824629,68.29061,Fair,Friuli Venezia Giulia
-10.182475,83.35855,Fair,Lazio
88.13659,63.94356,Fair,Liguria
-18.259644,-133.13217,Moderate,Lombardia
95.45175,56.760555,Fair,Marche
32.080704,-111.274994,Fair,Molise
-0.7765233,-116.28092,Fair,Piemonte
100.68813,52.04712,Fair,Puglia
-46.122906,51.887066,Fair,Sardegna
119.131714,38.627003,Fair,Sicilia
-14.943983,74.696205,Fair,Toscana
-5.4769077,92.88182,Fair,Trentino-Alto Adige
-19.220346,49.22709,Fair,Umbria
-35.75264,56.582325,Fair,Valle d'Aosta
-20.297155,-126.20829,Moderate,Veneto
