Component 1,Component 2,labels,Regione
-92.67848,-177.52281,2,Abruzzo
392.36603,68.35112,0,Basilicata
-41.974297,15.60485,0,Calabria
-253.13701,-404.53497,2,Campania
-93.83947,-114.18287,2,Emilia-Romagna
-82.08971,188.67412,0,Friuli Venezia Giulia
1151.7095,-402.71494,0,Lazio
77.804596,98.33374,0,Liguria
-203.52403,-367.46613,2,Lombardia
201.07794,91.057594,0,Marche
-20.601973,-298.40604,2,Molise
-87.5939,-239.93365,2,Piemonte
253.25902,86.72182,0,Puglia
325.3798,78.611015,0,Sardegna
-1285.4204,1432.9359,1,Sicilia
-20.785007,97.905525,0,Toscana
-157.11078,145.20576,0,Trentino-Alto Adige
-147.19502,268.1125,0,Umbria
-42.910736,225.387,0,Valle d'Aosta
-146.07164,-315.95074,2,Veneto
