Component 1,Component 2,labels,Regione
-53.713253,114.92691,Fair,Calabria
-14.591874,-75.19311,Fair,Campania
4.846714,-56.825096,Moderate,Emilia-Romagna
41.2681,-5.631672,Fair,Friuli Venezia Giulia
22.767729,-49.818256,Fair,Lazio
32.31965,-44.225838,Fair,Liguria
-7.3274536,-83.08305,Poor,Lombardia
43.423805,13.322647,Fair,Marche
15.968021,-53.760963,Moderate,Piemonte
-49.70615,121.663025,Fair,Puglia
-36.483486,101.30115,Fair,Sardegna
40.992126,2.330357,Fair,Toscana
48.019848,-14.968104,Fair,Trentino-Alto Adige
30.41132,-2.2207344,Fair,Umbria
-41.507084,106.65445,Fair,Valle d'Aosta
-0.3723182,-86.17601,Poor,Veneto
