Component 1,Component 2,labels,Regione
-21.274448,95.64236,Fair,Abruzzo
77.536865,-38.85885,Fair,Basilicata
63.9907,-37.20875,Fair,Calabria
-4.5201316,-148.703,Fair,Campania
-14.32242,-157.60455,Fair,Emilia-Romagna
-6.223541,76.00503,Fair,Friuli Venezia Giulia
17.62778,67.99412,Fair,Lazio
5.395643,48.41992,Fair,Liguria
-38.6914,-185.32652,Moderate,Lombardia
45.09865,-17.192778,Fair,Marche
-52.43471,49.05169,Fair,Molise
-20.724232,-163.63304,Fair,Piemonte
53.748417,-19.335987,Fair,Puglia
-29.768078,103.51348,Fair,Sardegna
55.980724,-42.23209,Fair,Sicilia
7.3957696,63.29775,Fair,Toscana
30.473475,72.091034,Fair,Trentino-Alto Adige
-12.064576,83.5339,Fair,Umbria
-49.240932,57.13539,Fair,Valle d'Aosta
-41.965416,-177.081,Moderate,Veneto
