Component 1,Component 2,labels,Regione
-72.86249,-207.49005,Fair,Abruzzo
-80.83763,299.1978,Fair,Basilicata
-38.680466,218.56297,Fair,Calabria
-153.21744,-367.1225,Fair,Campania
-48.826824,-222.85164,Fair,Emilia-Romagna
78.013985,-75.740036,Fair,Friuli Venezia Giulia
113.13119,-31.677288,Fair,Lazio
210.21019,-46.315742,Fair,Liguria
-177.68013,-340.16666,Moderate,Lombardia
23.54523,209.96205,Fair,Marche
166.79578,-49.77889,Fair,Molise
-17.706003,-249.02876,Moderate,Piemonte
-63.72731,187.4877,Fair,Puglia
-59.91705,265.61932,Fair,Sardegna
-82.137375,163.97055,Fair,Sicilia
117.74004,-59.953083,Fair,Toscana
38.461933,-89.76579,Fair,Trentino-Alto Adige
49.631706,168.96323,Fair,Umbria
57.234016,241.18788,Fair,Valle d'Aosta
-193.84727,-316.6125,Moderate,Veneto
