Component 1,Component 2,labels,Regione
15.425032,9.656773,Fair,Abruzzo
-30.599415,-97.327324,Fair,Basilicata
-33.96365,-85.923164,Fair,Calabria
75.00889,41.536907,Fair,Campania
9.29711,12.7527895,Fair,Emilia-Romagna
1.4982755,9.719176,Fair,Friuli Venezia Giulia
47.542812,28.094814,Fair,Lazio
-25.616135,-12.490218,Fair,Liguria
68.06247,38.187325,Moderate,Lombardia
-24.129015,-50.083183,Fair,Marche
54.432133,31.523579,Moderate,Piemonte
-27.444174,-57.17015,Fair,Puglia
-28.659298,-88.16959,Fair,Sardegna
-21.6621,-19.279453,Fair,Sicilia
-17.69163,-23.614357,Fair,Toscana
21.099749,2.5561092,Fair,Trentino-Alto Adige
6.110681,22.079548,Fair,Umbria
-31.360258,-61.481014,Fair,Valle d'Aosta
60.373543,34.443523,Moderate,Veneto
