Component 1,Component 2,labels,Regione
165.49297,20.505856,Fair,Calabria
-121.01108,-263.80087,Moderate,Campania
-48.47294,-134.3481,Moderate,Emilia-Romagna
39.514874,-39.431465,Moderate,Friuli Venezia Giulia
13.278719,-145.13913,Fair,Lazio
38.814034,-0.5861506,Fair,Liguria
-90.31665,-242.42549,Poor,Lombardia
-3.4760675,-77.420586,Fair,Marche
-59.735348,-176.59114,Moderate,Piemonte
156.17932,-3.6971278,Fair,Puglia
-22.594784,-94.84997,Fair,Toscana
-95.587036,-40.228615,Fair,Trentino-Alto Adige
-66.75404,-61.700867,Fair,Umbria
82.5427,-25.49892,Fair,Valle d'Aosta
-78.63145,-210.32765,Poor,Veneto
