Component 1,Component 2,labels,Regione
72.57085,-7.7058907,Fair,Abruzzo
-61.871914,4.7101107,Fair,Basilicata
-52.21213,8.142552,Fair,Calabria
15.300883,-85.9874,Fair,Campania
10.2436075,-94.325424,Fair,Emilia-Romagna
62.72893,-2.7778277,Fair,Friuli Venezia Giulia
30.191961,-23.78974,Fair,Lazio
-24.390778,-3.8619795,Fair,Liguria
-1.6906557,-112.8356,Fair,Lombardia
-34.337276,0.3807512,Fair,Marche
55.81661,-1.8307166,Fair,Molise
6.984447,-99.82487,Fair,Piemonte
-40.739227,3.2878795,Fair,Puglia
83.96856,-3.972253,Fair,Sardegna
-50.76937,15.524476,Fair,Sicilia
32.647713,-17.900335,Fair,Toscana
46.570633,2.4570854,Fair,Trentino-Alto Adige
71.8163,4.9730973,Fair,Umbria
72.83934,-18.335798,Fair,Valle d'Aosta
-6.033305,-117.69969,Moderate,Veneto
