Component 1,Component 2,labels,Provincia
54.29433,-8.895374,1,Ancona
-18.731436,28.553043,0,Aosta
4.7958517,-1.7142807,1,Arezzo
-29.992691,20.93741,0,Ascoli Piceno
24.345081,-11.803744,1,Asti
52.258785,-15.173174,1,Avellino
-41.71437,5.116624,0,Belluno
-22.898542,-27.663126,2,Benevento
-10.766747,-51.64066,2,Bergamo
-24.01617,26.061222,0,Biella
-38.15636,14.851824,0,Bologna
-41.694424,23.3117,0,Bolzano
-10.398585,-53.95579,2,Brescia
-38.6735,11.976663,0,Cagliari
17.901367,-13.443391,1,Caserta
-11.164528,-37.277805,2,Como
2.1857681,7.188268,1,Cosenza
-13.322022,-55.97992,2,Cremona
-25.329973,26.175257,0,Crotone
46.511497,-7.5273414,1,Cuneo
52.124752,-12.830296,1,Ferrara
-21.966728,-9.644209,2,Firenze
-40.151207,9.449898,0,Forli'-Cesena
13.869057,-13.016716,1,Frosinone
-15.766065,-8.348967,2,Genova
3.5349185,3.6251786,1,Grosseto
-17.436235,29.388563,0,La Spezia
-20.48735,-9.770002,2,Latina
5.0539684,7.9901333,1,Lecce
16.37328,-13.277364,1,Lecco
4.124188,-0.056926094,1,Livorno
-26.589685,-23.202322,2,Lodi
1.9449012,43.431652,0,Macerata
30.855377,5.250214,1,Mantova
-7.488016,-54.75585,2,Milano
-24.54211,-22.5102,2,Modena
-5.4061604,-55.39236,2,Monza e della Brianza
-23.675362,-21.045996,2,Napoli
-10.845586,-38.569527,2,Novara
4.8486066,47.90094,0,Oristano
30.43013,6.9717064,1,Padova
52.667988,-9.33637,1,Parma
-33.700176,17.908995,0,Perugia
51.776794,-5.0328703,1,Pesaro e Urbino
42.157795,-8.44648,1,Piacenza
-35.597134,15.394102,0,Pisa
-34.490932,14.037129,0,Pordenone
37.06762,-10.428951,1,Ravenna
-0.70577115,44.54937,0,Reggio di Calabria
44.88293,-7.764666,1,Reggio nell'Emilia
3.250479,42.62354,0,Rieti
-40.96613,7.454245,0,Rimini
-22.43989,-17.674446,2,Roma
31.452856,3.141074,1,Rovigo
-23.648218,-25.488068,2,Salerno
0.5112484,40.759663,0,Sassari
5.7515116,-4.283083,1,Savona
-32.474632,12.488481,0,Sondrio
3.5475643,46.513584,0,Sud Sardegna
3.5104392,6.425074,1,Taranto
50.791824,-7.389855,1,Terni
29.969652,8.910988,1,Torino
-40.302086,21.481247,0,Trento
35.573257,-10.720945,1,Treviso
-18.086403,-9.092588,2,Trieste
-38.519836,19.336937,0,Udine
32.912872,-11.466175,1,Varese
-11.936891,-53.35487,2,Venezia
23.000948,-12.596849,1,Vercelli
27.407068,-12.332453,1,Verona
24.33757,-9.026941,1,Vicenza
-20.88882,27.278639,0,Viterbo
