Axis 1,Axis 2,Provincia,no2,pm10,pm25,o3
20.14387,-7.080545,Alessandria,22.0,29.0,19.0,55.5
2.0290542,-7.769937,Ancona,22.4,25.2,12.8,52.75
11.607192,-35.373085,Aosta,18.77777777777778,20.428571428571427,14.0,61.4
11.526875,-34.299675,Arezzo,20.666666666666668,19.666666666666668,15.5,60.5
6.7484345,-47.839523,Ascoli Piceno,16.333333333333332,19.0,9.5,67.0
24.93237,-3.1970792,Asti,27.0,29.666666666666668,20.0,54.5
24.996872,8.855596,Avellino,29.0,33.5,20.0,47.0
-1.2497035,-8.234779,Bari,22.727272727272727,22.833333333333332,14.5,54.4
-36.690716,-5.7410207,Belluno,15.333333333333334,18.666666666666668,19.0,46.666666666666664
33.38419,36.27745,Benevento,39.5,46.5,19.0,49.0
22.108253,26.545284,Bergamo,36.285714285714285,32.42857142857143,24.75,50.25
-27.77974,29.0715,Biella,22.666666666666668,20.0,12.5,53.666666666666664
-1.6644688,-5.706844,Bologna,26.714285714285715,22.142857142857142,14.5,51.5
-20.643753,35.30092,Bolzano,32.25,15.0,14.5,50.0
18.176914,24.324038,Brescia,35.0,35.0,28.0,46.2
-22.323402,-38.499527,Cagliari,16.11111111111111,25.22222222222222,12.0,64.875
36.376877,15.743317,Caserta,31.333333333333332,28.666666666666668,18.0,48.666666666666664
-26.15984,-45.61787,Catanzaro,4.75,18.0,6.0,72.0
2.8464174,12.91954,Como,43.5,27.5,21.0,38.0
-20.691816,-43.39885,Cosenza,14.0,22.5,11.0,70.75
16.92209,24.280943,Cremona,33.666666666666664,37.333333333333336,29.333333333333332,43.5
-21.966434,-43.006996,Crotone,11.0,22.5,12.333333333333334,71.5
35.16286,13.257525,Cuneo,30.0,28.0,20.0,50.666666666666664
3.7655203,-0.11794891,Ferrara,27.6,25.0,16.0,47.75
-15.956752,42.172974,Firenze,36.6,25.6,16.5,55.0
11.859818,-41.910675,Foggia,11.8,19.0,12.5,59.333333333333336
-38.684822,-5.4908566,Forli'-Cesena,17.0,22.2,16.0,46.666666666666664
21.088705,-6.497907,Frosinone,22.636363636363637,28.227272727272727,19.58823529411765,55.0
-12.562892,38.440994,Genova,43.07142857142857,22.0,9.0,67.6
-26.447338,-6.6890974,Gorizia,21.6,20.833333333333332,22.0,45.333333333333336
-28.101437,-51.033997,Grosseto,12.5,17.0,11.0,73.0
-26.3348,28.639,L'Aquila,22.0,19.0,13.0,51.0
-0.7995928,-9.482928,La Spezia,23.333333333333332,22.8,14.0,57.0
22.327501,34.448338,Latina,38.333333333333336,30.0,16.0,50.5
-17.274555,-44.957684,Lecce,15.666666666666666,25.8,14.333333333333334,73.5
-13.871116,41.276398,Lecco,32.77777777777778,24.714285714285715,16.666666666666668,60.875
21.62894,22.57548,Lodi,28.0,35.166666666666664,23.5,42.333333333333336
-25.246487,27.841131,Macerata,21.0,20.0,12.0,49.0
40.372276,8.074406,Mantova,23.8,32.0,25.75,52.0
8.779607,27.659914,Milano,47.666666666666664,37.285714285714285,30.5,41.666666666666664
36.6875,17.425358,Modena,31.166666666666668,29.4,19.0,45.333333333333336
8.170574,28.447378,Monza e della Brianza,48.333333333333336,39.666666666666664,31.0,45.0
23.223377,31.761217,Napoli,44.25,35.125,20.0,53.125
2.8174279,11.922963,Novara,37.75,27.25,19.0,37.0
12.142641,-40.523952,Oristano,12.333333333333334,21.0,14.0,60.5
45.250004,3.940975,Padova,30.4,31.833333333333332,28.0,54.75
-17.393003,41.467392,Palermo,36.54545454545455,23.25,15.5,53.25
3.988963,-7.0092907,Parma,25.75,28.25,15.0,52.333333333333336
14.899697,24.067305,Pavia,34.0,34.0,37.0,42.333333333333336
-28.581684,26.887482,Perugia,18.285714285714285,19.4375,13.5,53.25
18.271587,-8.178136,Pesaro e Urbino,21.333333333333332,30.333333333333332,15.0,59.0
4.167889,0.932024,Pescara,32.333333333333336,25.5,17.0,45.0
-24.804337,-6.8282895,Piacenza,24.6,22.75,22.0,50.0
-2.9708178,-8.404199,Pisa,22.25,21.5,16.0,54.0
-43.99018,-4.4121146,Pistoia,21.5,26.0,19.0,45.0
-28.453001,-50.116753,Potenza,9.777777777777779,16.166666666666668,10.4,76.9
-45.85846,-3.453672,Ravenna,21.8,24.75,22.0,39.5
-22.464504,-40.31642,Reggio di Calabria,11.5,23.75,15.0,67.0
-21.540022,-7.084885,Reggio nell'Emilia,20.0,24.8,19.0,53.25
11.041845,-44.030743,Rieti,15.0,16.0,11.5,60.0
-39.826588,-5.359098,Rimini,17.4,24.0,17.0,46.25
21.915636,35.44878,Roma,39.714285714285715,26.45,17.0,47.84615384615385
24.901798,7.8057327,Rovigo,27.0,33.333333333333336,19.5,50.5
32.737545,35.53892,Salerno,39.0,44.5,22.0,50.0
9.952963,-45.701244,Sassari,14.090909090909092,17.90909090909091,8.0,61.42857142857143
-15.21548,37.39473,Savona,30.6,19.25,15.125,60.333333333333336
-22.782835,-6.988486,Sondrio,23.25,23.0,19.0,51.0
-24.579824,-44.674686,Sud Sardegna,6.5,20.416666666666668,10.0,71.5
-19.138712,-44.16127,Taranto,16.6,21.428571428571427,12.0,73.5
-44.02374,-5.5512223,Terni,16.833333333333332,26.666666666666668,19.0,42.0
46.07469,3.3277779,Torino,32.733333333333334,28.833333333333332,27.625,53.45454545454545
-18.077232,37.979134,Trento,32.0,20.0,15.0,53.166666666666664
39.30984,9.692639,Treviso,26.333333333333332,29.333333333333332,23.666666666666668,47.333333333333336
-18.291174,39.683197,Trieste,33.142857142857146,22.5,15.0,51.333333333333336
12.226422,-38.407524,Udine,15.11111111111111,20.5,16.0,62.5
37.964256,11.609149,Varese,31.8,30.0,22.0,47.75
20.494488,24.206282,Venezia,32.0,32.5,25.666666666666668,44.333333333333336
-24.512165,30.876812,Verbano-Cusio-Ossola,25.25,16.333333333333332,12.0,49.333333333333336
36.27139,13.664892,Vercelli,31.75,28.75,20.0,49.5
25.91421,-2.5985243,Verona,25.0,31.6,21.0,54.25
27.748466,-1.8352594,Vicenza,25.375,33.25,23.0,58.0
5.664168,-48.05829,Viterbo,20.0,19.333333333333332,10.5,63.0
