Lon,Lat,media_yy
8.80417,45.83611,35.0
9.08361,45.80444,47.0
9.22444444444444,45.8105555555556,40.0
8.96666666666667,45.7830555555556,42.0
9.870556,46.167222,40.0
8.8925,45.4675,49.0
9.22222222222222,45.4725,53.0
9.195833,45.462778,88.0
9.3275,45.482778,46.0
9.665,45.6863888888889,50.0
9.61888888888889,45.6588888888889,48.0
9.6115435,45.62058256,44.0
9.591389,45.518333,39.0
10.22361,45.54083,46.0
10.20083,45.655,44.0
9.67805555555555,45.3702777777778,40.0
10.0333333333333,45.1383333333333,56.0
9.395833,45.849444,37.0
9.40619194,45.69795956,48.0
9.485556,45.305278,48.0
9.15694,45.66083,52.0
12.262222,45.499167,41.0
13.7780555555556,45.6494444444444,39.0
13.7875,45.623056,33.0
8.94611111111111,44.4038888888889,72.0
8.99154,44.39489,31.0
8.87194444444444,44.4158333333333,57.0
9.70138888888889,45.0452777777778,41.0
10.3161111111111,44.8025,58.0
10.624444,44.699722,55.0
10.664722,44.690833,45.0
10.9291666666667,44.6411111111111,32.0
11.32833,44.49972,55.0
11.3336111111111,44.4694444444444,22.0
11.6363888888889,44.8427777777778,44.0
11.961111,44.839722,24.0
12.2513888888889,44.4455555555556,66.0
12.18667,44.42861,49.0
12.2066666666667,44.4233333333333,51.0
12.225556,44.42,42.0
12.553333,44.0625,43.0
11.24917,43.76528,36.0
10.7627777777778,43.6902777777778,30.0
10.41056,43.71389,28.0
11.09194,43.87278,24.0
14.27167,40.85361,46.0
14.1983333333333,40.8238888888889,57.0
8.386111,39.208611,58.0
