Component 1,Component 2,labels,Regione
77.652824,-33.752712,2,Abruzzo
-72.36547,-71.88404,0,Basilicata
-57.477436,-62.4869,0,Calabria
-17.71218,80.87053,1,Campania
-21.98625,89.51567,1,Emilia-Romagna
10.520606,9.947773,0,Friuli Venezia Giulia
13.857368,-0.40917522,0,Lazio
-32.350346,-44.002728,0,Liguria
-33.87929,113.09911,1,Lombardia
-63.489574,-66.26364,0,Marche
35.535282,-21.509672,2,Molise
-26.51023,98.560356,1,Piemonte
-49.0566,-56.41111,0,Puglia
86.42814,-37.523563,2,Sardegna
-41.819847,-50.993206,0,Sicilia
13.418911,-7.584345,0,Toscana
7.6604443,18.778624,0,Trentino-Alto Adige
71.1186,-30.981441,2,Umbria
31.645355,-15.971092,2,Valle d'Aosta
-30.001978,105.528244,1,Veneto
