Component 1,Component 2,labels,Regione
-53.713253,114.92691,1,Calabria
-14.591874,-75.19311,2,Campania
4.846714,-56.825096,2,Emilia-Romagna
41.2681,-5.631672,0,Friuli Venezia Giulia
22.767729,-49.818256,2,Lazio
32.31965,-44.225838,0,Liguria
-7.3274536,-83.08305,2,Lombardia
43.423805,13.322647,0,Marche
15.968021,-53.760963,2,Piemonte
-49.70615,121.663025,1,Puglia
-36.483486,101.30115,1,Sardegna
40.992126,2.330357,0,Toscana
48.019848,-14.968104,0,Trentino-Alto Adige
30.41132,-2.2207344,0,Umbria
-41.507084,106.65445,1,Valle d'Aosta
-0.3723182,-86.17601,2,Veneto
