Component 1,Component 2,labels,Regione
-25.157804,58.698544,2,Abruzzo
133.325,28.423418,0,Basilicata
124.95748,34.42454,0,Calabria
26.945414,-116.18948,1,Campania
3.4809034,-110.8241,1,Emilia-Romagna
-18.824629,68.29061,2,Friuli Venezia Giulia
-10.182475,83.35855,2,Lazio
88.13659,63.94356,0,Liguria
-18.259644,-133.13217,1,Lombardia
95.45175,56.760555,0,Marche
32.080704,-111.274994,1,Molise
-0.7765233,-116.28092,1,Piemonte
100.68813,52.04712,0,Puglia
-46.122906,51.887066,2,Sardegna
119.131714,38.627003,0,Sicilia
-14.943983,74.696205,2,Toscana
-5.4769077,92.88182,2,Trentino-Alto Adige
-19.220346,49.22709,2,Umbria
-35.75264,56.582325,2,Valle d'Aosta
-20.297155,-126.20829,1,Veneto
