Component 1,Component 2,labels,Regione
72.57085,-7.7058907,1,Abruzzo
-61.871914,4.7101107,0,Basilicata
-52.21213,8.142552,0,Calabria
15.300883,-85.9874,2,Campania
10.2436075,-94.325424,2,Emilia-Romagna
62.72893,-2.7778277,1,Friuli Venezia Giulia
30.191961,-23.78974,1,Lazio
-24.390778,-3.8619795,0,Liguria
-1.6906557,-112.8356,2,Lombardia
-34.337276,0.3807512,0,Marche
55.81661,-1.8307166,1,Molise
6.984447,-99.82487,2,Piemonte
-40.739227,3.2878795,0,Puglia
83.96856,-3.972253,1,Sardegna
-50.76937,15.524476,0,Sicilia
32.647713,-17.900335,1,Toscana
46.570633,2.4570854,1,Trentino-Alto Adige
71.8163,4.9730973,1,Umbria
72.83934,-18.335798,1,Valle d'Aosta
-6.033305,-117.69969,2,Veneto
