Component 1,Component 2,labels,Regione
-72.86249,-207.49005,2,Abruzzo
-80.83763,299.1978,1,Basilicata
-38.680466,218.56297,1,Calabria
-153.21744,-367.1225,2,Campania
-48.826824,-222.85164,2,Emilia-Romagna
78.013985,-75.740036,0,Friuli Venezia Giulia
113.13119,-31.677288,0,Lazio
210.21019,-46.315742,0,Liguria
-177.68013,-340.16666,2,Lombardia
23.54523,209.96205,1,Marche
166.79578,-49.77889,0,Molise
-17.706003,-249.02876,2,Piemonte
-63.72731,187.4877,1,Puglia
-59.91705,265.61932,1,Sardegna
-82.137375,163.97055,1,Sicilia
117.74004,-59.953083,0,Toscana
38.461933,-89.76579,0,Trentino-Alto Adige
49.631706,168.96323,1,Umbria
57.234016,241.18788,1,Valle d'Aosta
-193.84727,-316.6125,2,Veneto
