Component 1,Component 2,labels,Regione
47.09022,-43.65277,1,Abruzzo
-18.467403,33.34676,0,Basilicata
-16.606483,25.734873,0,Calabria
63.329113,-84.9286,1,Campania
48.645245,-48.12826,1,Emilia-Romagna
21.447296,-8.319714,2,Friuli Venezia Giulia
22.279297,-18.736784,2,Lazio
-39.334503,20.891895,0,Liguria
59.991177,-79.80069,1,Lombardia
-19.907747,20.655209,0,Marche
-36.04142,15.25457,0,Molise
50.501163,-53.44137,1,Piemonte
-16.961012,16.354933,0,Puglia
-9.00544,27.750761,0,Sardegna
-29.85205,19.427141,0,Sicilia
24.34208,-12.525473,2,Toscana
32.5655,-13.380965,2,Trentino-Alto Adige
16.558493,-0.29367793,2,Umbria
13.357014,4.4221663,2,Valle d'Aosta
59.157467,-75.32308,1,Veneto
