Component 1,Component 2,labels,Regione
15.425032,9.656773,0,Abruzzo
-30.599415,-97.327324,2,Basilicata
-33.96365,-85.923164,2,Calabria
75.00889,41.536907,1,Campania
9.29711,12.7527895,0,Emilia-Romagna
1.4982755,9.719176,0,Friuli Venezia Giulia
47.542812,28.094814,1,Lazio
-25.616135,-12.490218,0,Liguria
68.06247,38.187325,1,Lombardia
-24.129015,-50.083183,2,Marche
54.432133,31.523579,1,Piemonte
-27.444174,-57.17015,2,Puglia
-28.659298,-88.16959,2,Sardegna
-21.6621,-19.279453,0,Sicilia
-17.69163,-23.614357,0,Toscana
21.099749,2.5561092,0,Trentino-Alto Adige
6.110681,22.079548,0,Umbria
-31.360258,-61.481014,2,Valle d'Aosta
60.373543,34.443523,1,Veneto
