Component 1,Component 2,labels,Regione
28.363358,-28.499609,0,Abruzzo
77.073875,5.553508,2,Basilicata
72.32061,0.6591936,2,Calabria
-117.06159,50.827408,1,Campania
-121.3174,61.75234,1,Emilia-Romagna
24.750462,-41.126793,0,Friuli Venezia Giulia
26.835344,-33.648594,0,Lazio
42.606834,-13.87394,0,Liguria
-128.48334,80.21905,1,Lombardia
44.14101,-22.185347,0,Marche
-118.80286,55.301544,1,Molise
-124.25882,69.311325,1,Piemonte
50.992165,-19.874369,0,Puglia
17.82457,-15.787268,0,Sardegna
69.12574,-2.7857482,2,Sicilia
35.61728,-26.421318,0,Toscana
22.28167,-47.60829,0,Trentino-Alto Adige
21.9011,-22.109665,0,Umbria
47.028687,-28.617786,0,Valle d'Aosta
-126.38924,74.813126,1,Veneto
