Component 1,Component 2,labels,Regione
-112.19528,13.167615,0,Calabria
106.563095,-5.0657067,1,Campania
10.318046,-4.240065,2,Emilia-Romagna
-47.7679,-9.440425,0,Friuli Venezia Giulia
-9.9022875,2.0769925,2,Lazio
-64.810394,-18.75967,0,Liguria
123.47245,-5.1955323,1,Lombardia
0.33719015,32.34259,2,Marche
135.61847,-5.2123713,1,Piemonte
-118.114044,2.9830527,0,Puglia
-6.1332836,19.822351,2,Toscana
-22.552324,-26.800076,2,Trentino-Alto Adige
-22.38453,-7.120775,2,Umbria
-69.29315,-3.8073215,0,Valle d'Aosta
151.17387,-5.0846343,1,Veneto
