Lon,Lat,media_yy
7.658,45.1546,30.0
7.2454,45.4302,6.0
7.8375,45.0028,20.0
7.5602,45.1758,12.0
7.878,45.4512,22.0
7.7116,45.1763,25.0
7.5496,45.0069,30.0
6.8359,45.0348,19.0
7.7782,45.1432,33.0
7.0501,45.1391,16.0
7.6782,45.0758,52.0
7.69534,45.10407,56.0
7.6259,45.0419,31.0
7.6491,45.0249,35.0
7.6362,44.9513,26.0
8.2835,45.7132,16.0
8.0434,45.2948,29.0
8.4151,45.3284,26.0
8.4024,45.3189,21.0
8.4584,45.6894,24.0
8.7861,45.4097,25.0
8.6206,45.4383,26.0
8.6197,45.4403,45.0
8.0333,44.7037,22.0
7.5382,44.3818,23.0
7.8146,44.4018,26.0
7.4262,44.7197,12.0
8.1695,44.4122,9.0
8.2055,44.9089,23.0
8.1975,44.8942,31.0
8.3103,44.808,12.0
8.612,44.9066,31.0
8.6232,44.9203,24.0
9.0524,44.7633,10.0
8.0564,45.5588,20.0
8.1876,45.569,16.0
8.1598,45.6642,10.0
8.2559,46.3148,5.0
8.2921,46.1276,16.0
8.4157,45.8988,27.0
8.5655,45.9303,28.0
7.29889,45.73028,20.0
7.32417,45.73583,25.0
7.30433,45.73444,23.0
7.329645,45.730659,24.0
7.32189,45.7324,28.0
7.76643,45.5966,13.0
6.97778,45.72917,3.0
8.83449244,45.58288714,32.0
8.75,45.61667,26.0
9.024167,45.626944,32.0
8.80417,45.83611,23.0
8.820278,45.816944,36.0
9.12583,45.72722,25.0
9.08361,45.80444,44.0
9.222778,45.809444,22.0
10.3725,46.470278,14.0
9.56639,46.13167,16.0
9.870556,46.167222,24.0
9.88028,46.16861,18.0
8.84861,45.54667,22.0
9.503333,45.528056,37.0
9.22806,45.55139,54.0
9.16698,45.5476,41.0
9.191389,45.495556,59.0
9.195833,45.462778,46.0
9.1825,45.44917,45.0
9.198056,45.469722,49.0
9.23583,45.47833,38.0
8.989444,45.282778,22.0
9.3275,45.482778,34.0
9.04472,45.5225,35.0
9.28278,45.39528,38.0
9.236389,45.533889,43.0
8.73667,45.52583,22.0
9.643889,45.690278,31.0
9.661667,45.695687,41.0
9.466667,45.683333,21.0
9.556389,45.4975,31.0
9.61472,45.64389,24.0
9.55639,45.63306,23.0
9.6115435,45.62058256,27.0
10.04111,45.71361,22.0
9.591389,45.518333,34.0
10.22361,45.54083,33.0
10.23194,45.53861,57.0
10.219444,45.515278,28.0
10.1775,45.873889,28.0
10.299444,45.248889,23.0
10.480833,45.463333,19.0
10.38583,45.63944,21.0
