Lon,Lat,media_yy
7.658,45.1546,26.0
7.2454,45.4302,4.0
7.8375,45.0028,23.0
7.5602,45.1758,14.0
7.878,45.4512,24.0
7.7116,45.1763,31.0
7.5496,45.0069,32.0
6.8359,45.0348,21.0
7.7782,45.1432,35.0
7.0501,45.1391,20.0
7.6782,45.0758,59.0
7.69534,45.10407,70.0
7.6259,45.0419,39.0
7.6491,45.0249,41.0
7.6362,44.9513,30.0
8.2835,45.7132,19.0
8.0434,45.2948,41.0
8.4151,45.3284,34.0
8.4024,45.3189,21.0
8.4584,45.6894,28.0
8.7861,45.4097,42.0
8.6206,45.4383,33.0
8.6197,45.4403,50.0
8.0333,44.7037,22.0
7.5382,44.3818,25.0
7.8146,44.4018,29.0
7.4262,44.7197,12.0
8.1695,44.4122,12.0
8.2055,44.9089,24.0
8.1975,44.8942,37.0
8.3103,44.808,14.0
8.612,44.9066,36.0
8.6232,44.9203,21.0
9.0524,44.7633,11.0
8.0564,45.5588,18.0
8.1876,45.569,17.0
8.1598,45.6642,22.0
8.2559,46.3148,5.0
8.2921,46.1276,22.0
8.4157,45.8988,29.0
8.5655,45.9303,22.0
7.29889,45.73028,24.0
7.32417,45.73583,28.0
7.34256,45.7373,27.0
7.76643,45.5966,13.0
6.97778,45.72917,4.0
8.83449244,45.58288714,24.0
8.75,45.61667,26.0
9.024167,45.626944,34.0
8.80417,45.83611,30.0
8.820278,45.816944,38.0
9.12583,45.72722,40.0
9.08361,45.80444,44.0
10.3725,46.470278,14.0
9.56639,46.13167,16.0
9.870556,46.167222,25.0
9.88028,46.16861,23.0
8.84861,45.54667,19.0
9.503333,45.528056,34.0
9.22806,45.55139,38.0
9.10528,45.43222,54.0
9.191389,45.495556,56.0
9.195833,45.462778,47.0
9.1825,45.44917,64.0
9.198056,45.469722,59.0
9.23583,45.47833,43.0
9.09028,45.50917,50.0
9.3275,45.482778,31.0
9.04472,45.5225,43.0
9.28278,45.39528,47.0
9.236389,45.533889,51.0
8.73667,45.52583,21.0
9.643889,45.690278,36.0
9.661667,45.695687,43.0
9.466667,45.683333,23.0
9.556389,45.4975,20.0
9.61472,45.64389,33.0
9.6115435,45.62058256,25.0
9.591389,45.518333,32.0
10.22361,45.54083,38.0
10.23194,45.53861,67.0
10.219444,45.515278,35.0
10.1775,45.873889,39.0
10.299444,45.248889,21.0
10.480833,45.463333,20.0
10.38583,45.63944,19.0
10.313056,45.504722,23.0
10.20083,45.655,26.0
8.75472,45.28111,22.0
9.164722,45.193889,28.0
9.146944,45.185556,41.0
8.90556,45.10167,24.0
8.845833,45.304444,24.0
9.009444,45.000278,25.0
8.915,45.040833,22.0
9.705,45.36722,30.0
10.016667,45.132778,27.0
10.045833,45.142222,34.0
10.06924181,45.10954275,36.0
9.864167,45.284722,24.0
9.940278,45.148333,26.0
10.795556,45.160556,23.0
10.78194,45.16444,23.0
10.69194,45.41083,25.0
11.07083,44.99694,15.0
11.20444,45.05139,19.0
9.385,46.137222,24.0
9.395833,45.849444,39.0
9.395833,45.849444,20.0
9.40619194,45.69795956,48.0
9.496944,45.913056,9.0
9.286111,46.015833,23.0
9.34889,45.84083,23.0
9.58611,45.30861,20.0
9.66694,45.235,38.0
9.698333,45.158611,30.0
9.485556,45.305278,32.0
9.49528589,45.30278678,34.0
9.71389,45.08199189,25.0
9.414722,45.329444,25.0
9.15694,45.66083,52.0
9.27444,45.58111,37.0
9.27611,45.60222,31.0
11.34183,46.48231,41.0
11.33997,46.49547,37.0
11.34197,46.49917,30.0
11.65408,46.71492,30.0
11.94403,46.79735,19.0
11.16163,46.662,31.0
11.43317,46.58967,3.0
11.62111,46.67917,58.0
10.97044,45.74216,53.0
11.45389,46.05184,24.0
11.11343,46.19684,22.0
10.84449,45.89147,26.0
11.03941,45.89244,28.0
11.1262,46.06293,34.0
11.11023,46.10434,44.0
10.95804,46.08253,5.0
11.03778,45.59,10.0
11.311389,45.183611,22.0
11.28611,45.4,36.0
10.96389,45.44528,29.0
10.91222,45.4625,25.0
11.569167,45.848333,4.0
11.736667,45.760833,19.0
11.293281,45.53636,25.0
11.387222,45.466389,27.0
11.368611,45.714444,19.0
11.539722,45.560556,29.0
11.53417,45.54583,39.0
11.521944,45.531944,31.0
12.216944,46.141389,19.0
11.905833,46.030833,11.0
12.360833,46.1625,6.0
12.308056,45.890556,24.0
12.510278,45.836944,16.0
12.238611,45.6725,32.0
12.591667,45.630278,26.0
12.313889,45.429444,29.0
12.262222,45.499167,27.0
12.21833,45.49028,32.0
12.22083,45.47556,41.0
12.205556,45.438333,30.0
11.643056,45.29,14.0
11.665833,45.226667,27.0
11.841944,45.371944,34.0
11.89056,45.43333,39.0
11.902222,45.600278,21.0
11.553333,45.103889,18.0
11.791111,45.039722,24.0
11.78333,45.07472,35.0
13.30197,45.84208,7.0
13.47479,46.51005,17.0
13.06689,46.22101,16.0
13.393333,45.973333,13.0
13.011111,46.401944,12.0
13.2714,45.82199,13.0
13.26213,45.81078,9.0
13.24069,46.06612,19.0
13.2253,46.0351,17.0
13.22972,46.07083,23.0
13.42333,45.79944,14.0
13.54308,45.84299,9.0
13.48636,45.73162,12.0
13.528889,45.81,21.0
13.52205,45.80518,20.0
13.50112,45.83643,15.0
13.75056,45.60861,16.0
13.7875,45.623056,23.0
13.79451,45.61874,15.0
13.77222,45.65722,47.0
13.78026,45.62421,26.0
13.78079,45.63033,32.0
13.77111,45.65,34.0
12.53631,45.89865,23.0
12.9259,45.85693,17.0
12.65806,45.96222,35.0
12.65594,45.96262,29.0
12.59944,45.89611,26.0
7.77434,43.82001,
8.20544,44.05259,23.0
8.28068,44.38241,25.0
8.2838,44.38325,23.0
8.29868,44.37494,24.0
8.29011,44.36533,37.0
8.2015,44.39048,13.0
8.43169,44.28709,17.0
8.47293,44.31268,31.0
8.48542,44.31538,23.0
8.43892,44.27253,31.0
8.94675,44.56945,
8.95104,44.57402,29.0
9.32356,44.31494,22.0
8.64314,44.3914,17.0
8.82598,44.4255,51.0
8.88617,44.41844,
8.92737,44.41816,38.0
8.99154,44.39489,17.0
8.96819,44.40492,
8.90142,44.46272,46.0
8.95013,44.40309,
8.91193,44.41394,60.0
8.9459,44.55387,35.0
9.18487,44.56468,7.0
9.22261,44.35173,39.0
9.89769,44.18309,6.0
9.83211,44.11081,37.0
9.8187,44.10165,37.0
9.84394,44.11603,26.0
9.8577,44.10666,34.0
9.86571,44.12865,14.0
9.79871,44.12365,12.0
9.81587,44.11013,29.0
9.83895,44.06466,14.0
9.91871,44.15466,22.0
10.019167,44.989444,16.0
9.36693,44.73473,6.0
9.83028,44.82389,16.0
9.69333,45.04889,43.0
9.669167,45.038333,24.0
10.370833,44.926111,18.0
10.288889,44.6575,13.0
10.33167,44.79361,23.0
10.33667,44.78833,33.0
10.733889,44.516111,17.0
10.663889,44.873056,16.0
10.664722,44.690833,21.0
10.622778,44.700278,34.0
10.430278,44.299722,4.0
10.88365,44.79943,26.0
10.8189,44.54121,51.0
11.17795,44.92784,12.0
10.90473,44.63605,42.0
10.90633,44.65061,24.0
10.79139,44.53944,21.0
11.355,44.48333,38.0
11.32833,44.49972,54.0
11.286111,44.5,26.0
11.72028,44.35556,25.0
11.639444,44.662222,14.0
11.41639,44.47222,26.0
10.926111,44.15,4.0
11.299722,44.738333,19.0
11.61306,44.8425,40.0
11.649722,44.825,24.0
11.961111,44.839722,15.0
11.942222,44.741667,15.0
11.981381,44.526485,14.0
12.332222,44.283889,16.0
11.87056,44.28333,22.0
12.18667,44.42861,33.0
12.225556,44.42,19.0
12.239167,44.139167,22.0
12.056389,44.215,22.0
12.048889,44.219167,16.0
12.4025,44.095833,15.0
12.224722,43.9275,2.0
12.553333,44.0625,21.0
12.57556,44.05222,39.0
12.6275,43.932778,9.0
12.42,44.013056,9.0
12.401667,43.908056,8.0
10.097222,44.078333,18.0
10.55988,44.00555,12.0
10.573889,43.840833,26.0
10.51222,43.84389,30.0
10.45361,43.86889,10.0
10.245,43.883889,26.0
11.00694,43.91611,15.0
10.90528,43.94083,23.0
11.23139,43.78583,45.0
11.27222,43.77306,65.0
11.2875,43.78667,22.0
11.323889,43.789167,8.0
11.19278,43.75694,28.0
11.09778,43.79306,21.0
10.321667,43.52,19.0
10.32972,43.55472,41.0
10.3327,43.5689,27.0
10.534167,42.939167,17.0
10.52417,42.93194,16.0
10.401667,43.738889,16.0
10.41056,43.71389,33.0
10.881667,43.247778,9.0
10.771667,43.713056,23.0
11.87667,43.4625,39.0
11.88889,43.46111,17.0
11.90167,43.66028,2.0
11.14194,43.47278,18.0
11.325,43.3378,44.0
11.11917,42.77861,20.0
11.09417,42.67056,4.0
11.10528,43.87472,34.0
11.09194,43.87278,27.0
12.245833,43.456944,16.0
12.70778,42.95167,28.0
12.57639,43.35278,20.0
12.611667,43.273889,12.0
12.557222,43.358333,16.0
12.618611,43.317778,11.0
12.546944,43.3675,9.0
12.205833,43.133056,20.0
12.36611,43.10306,12.0
12.44194,43.08889,32.0
12.37472,43.10444,31.0
12.71333,42.74472,14.0
12.73722,42.73972,32.0
12.46806,43.06694,9.0
12.419722,42.551944,10.0
12.52194,42.53417,11.0
12.136667,42.737222,9.0
12.65083,42.56,24.0
12.62361,42.58194,24.0
12.65167,42.55222,20.0
13.01861,43.83972,30.0
12.91889,43.89333,20.0
12.63639,43.73056,13.0
13.50861,43.61167,20.0
13.34194,43.59889,25.0
13.3875,43.63333,26.0
12.95222,43.46806,7.0
13.245,43.52694,30.0
13.67472,43.33556,12.0
13.42861,43.285,19.0
13.61944,42.84861,13.0
13.33667,42.90056,4.0
13.87944,42.94444,29.0
11.87643,42.736572,6.0
12.415,42.28917,32.0
12.413195,42.301812,13.0
12.109196,42.42212,29.0
12.962063,42.572591,5.0
12.857794,42.404687,21.0
11.908954,42.157856,9.0
11.802485,42.091593,22.0
11.795408,42.094128,34.0
11.79834,42.099296,26.0
13.004056,41.730447,26.0
13.009668,41.725005,26.0
12.726623,41.995626,26.0
12.469563,41.947448,65.0
12.50895,41.883075,64.0
12.266327,41.889451,14.0
12.506947,41.932892,30.0
12.568652,41.857716,35.0
12.65848,41.929474,24.0
12.541618,41.886019,38.0
12.548854,41.910268,50.0
12.533667,41.947654,35.0
12.447588,41.906356,43.0
12.46957,41.863993,64.0
12.475387,41.893971,45.0
12.34559,41.874783,21.0
12.607028,41.797881,34.0
12.653293,41.595363,20.0
13.57049,41.223084,25.0
12.913043,41.464027,29.0
12.9466,41.531405,29.0
12.891731,41.451131,30.0
13.338286,41.727296,39.0
13.149795,41.746893,27.0
13.830728,41.48846,36.0
13.338713,41.571594,34.0
13.265568,41.687898,39.0
13.348977,41.639609,6.0
13.330917,41.624311,41.0
13.348977,41.639609,23.0
13.38306,42.36417,21.0
14.14833,42.5175,25.0
14.1975,42.45194,25.0
14.21306,42.46639,41.0
14.23472,42.45639,19.0
14.663333,41.557778,39.0
14.674722,41.554167,20.0
14.672778,41.566944,24.0
14.525556,41.418889,12.0
14.99361,42.00111,18.0
14.993333,41.998056,26.0
14.23361,41.59722,39.0
14.208889,41.759444,24.0
14.04722,41.48417,44.0
14.033333,41.478889,36.0
14.34472,41.08444,33.0
14.33122,41.07795,28.0
14.37809,41.04592,25.0
14.78938,41.13146,30.0
14.78833,41.12333,48.0
14.22806,40.84444,43.0
14.25133,40.85419,54.0
14.27167,40.85361,53.0
14.25417,40.84972,47.0
14.34108,40.86427,38.0
14.27547,40.87234,46.0
14.23111,40.84936,40.0
14.25451,40.86369,27.0
14.78222,40.92333,37.0
14.78556,40.91417,28.0
14.80833,40.66667,28.0
14.77751,40.69536,42.0
14.76972,40.68389,42.0
15.54778,41.45389,13.0
15.44083,41.54666,8.0
15.90944,41.62833,23.0
15.945,41.66528,18.0
15.38667,41.63083,9.0
16.56028,40.82778,25.0
16.888056,41.113611,31.0
16.859722,41.100556,22.0
16.865833,41.076944,17.0
16.84526,41.1347,23.0
16.91972,40.95333,12.0
16.766111,41.107778,16.0
16.78167,41.08722,22.0
16.78778,41.11444,23.0
16.605,41.200278,21.0
17.29028,40.95667,19.0
17.28417,40.96139,15.0
17.42389,40.53778,10.0
17.33194,40.70083,26.0
17.11583,40.59194,17.0
17.2536,40.52111,10.0
17.22528,40.42333,10.0
17.22583,40.48861,23.0
17.26333,40.46055556,29.0
17.28389,40.41194,9.0
17.23306,40.49444,23.0
17.17361,40.52611,14.0
17.20333,40.5625,10.0
17.94777,40.63416667,20.0
17.93833,40.63806,17.0
17.94361,40.65083,11.0
17.97806,40.62028,14.0
17.95472,40.63139,13.0
17.96055,40.64583,22.0
17.5125,40.64917,13.0
17.41583,40.74278,8.0
17.5875,40.5275,18.0
17.80833,40.56556,13.0
17.84639,40.42333,10.0
18.00556,40.48556,11.0
18.05361,40.48806,12.0
18.04722,40.48944,11.0
18.02972,40.40444,6.0
18.17361,40.16805,9.0
17.96447,40.41852,9.0
18.11611,40.45889,7.0
18.17306,40.36444,20.0
18.17667,40.35194,30.0
18.125,40.40333,12.0
16.29167,41.23167,22.0
16.28611,41.31667,20.0
15.89143,40.288391,4.0
15.787626,41.046003,21.0
15.639965,40.9841,22.0
15.722746,41.067055,12.0
15.872893,40.643893,11.0
15.90458,40.314068,17.0
15.900698,40.334862,4.0
15.867364,40.324234,5.0
15.9548,40.315619,4.0
16.496209,40.485846,12.0
16.547146,40.686653,10.0
16.548431,40.420377,15.0
16.3868,39.48963,14.0
16.24517,39.3134,24.0
16.19397,39.71376,8.0
16.24334,39.33893,18.0
16.57925,38.918288,9.0
16.60832,38.86898,42.0
16.23145,39.07497,18.0
16.66921,38.8705,2.0
16.29517,38.95955,16.0
16.25518,38.22976,11.0
16.07022,38.39986,12.0
15.64524,38.10591,21.0
15.63879,38.10495,26.0
17.11417,39.06808,19.0
17.12285,39.07973,11.0
17.10135,39.10701,9.0
17.01034,39.18752,11.0
17.1081,39.21648,10.0
16.09825,38.6758,
16.08024,38.66458,86.0
12.546894,38.012365,11.0
13.302198,38.120539,15.0
13.350252,38.111034,36.0
13.354215,38.124382,46.0
13.36556,38.11028,58.0
13.39167,38.09889,41.0
13.331559,38.1517,37.0
13.34417,38.13694,39.0
13.329306,38.121681,60.0
13.30861,38.13556,20.0
13.11859,38.050162,38.0
13.687987,37.977911,6.0
15.249112,38.190608,11.0
15.310064,38.205556,13.0
14.05472,37.48917,25.0
14.06333,37.49,34.0
14.253618,37.070349,23.0
14.284218,37.062217,11.0
14.344965,37.022486,4.0
14.223844,37.075693,23.0
14.26734,37.07333,12.0
14.395552,37.145943,43.0
13.99111,37.48333,29.0
14.281463,37.564125,4.0
15.097211,37.515808,57.0
15.08694,37.52583,27.0
15.081122,37.529257,16.0
15.010788,37.515714,23.0
14.734022,36.917119,8.0
14.714509,36.926331,13.0
14.56139,36.78583,8.0
15.2205,37.2184,17.0
15.128831,37.182374,8.0
15.27167,37.08,10.0
15.262506,37.098447,36.0
15.285297,37.091295,27.0
15.285331,37.067768,30.0
15.208712,37.093973,36.0
15.15157,37.12257,26.0
15.190867,37.156119,17.0
15.2025,37.1425,17.0
8.324722,40.553333,9.0
9.501667,40.928333,15.0
9.491667,40.9275,17.0
8.360278,40.815,6.0
8.393889,40.831944,7.0
8.405278,40.831389,7.0
8.55139,40.71028,24.0
8.55361,40.72972,32.0
8.57611,40.72444,11.0
8.569167,40.716667,12.0
8.275278,40.809167,3.0
8.773056,40.256389,6.0
9.32889,40.31889,17.0
9.321667,40.320556,20.0
9.0325,40.23722,5.0
9.69444,40.575,8.0
8.983889,39.238333,12.0
8.995833,39.226944,10.0
9.011389,39.286389,18.0
9.115,39.235833,32.0
9.188056,39.232778,16.0
9.016667,39.07,9.0
9.012222,39.081667,5.0
9.008889,39.066667,10.0
9.136389,39.260556,17.0
8.59472,39.90917,16.0
8.59778,39.89889,12.0
8.605278,39.885278,13.0
8.521389,39.165556,6.0
8.4325,39.224167,4.0
8.541389,39.311111,8.0
9.015278,39.443611,6.0
8.39,39.208611,4.0
8.386111,39.208611,6.0
8.43028,39.17722,4.0
8.386111,39.203333,8.0
8.79417,39.54667,12.0
8.45472,39.08056,3.0
9.216389,39.8425,1.0
8.94139,39.38333,8.0
,,25.0
,,24.0
