Lon,Lat,media_yy
7.658,45.1546,44.0
7.5602,45.1758,46.0
7.878,45.4512,48.0
7.5496,45.0069,51.0
7.0501,45.1391,60.0
7.6259,45.0419,44.0
7.6362,44.9513,48.0
8.2835,45.7132,46.0
8.4024,45.3189,44.0
8.0333,44.7037,42.0
7.5382,44.3818,64.0
8.1695,44.4122,46.0
8.2055,44.9089,43.0
8.3103,44.808,65.0
8.6232,44.9203,50.0
9.0524,44.7633,82.0
8.0564,45.5588,57.0
8.1876,45.569,50.0
8.5655,45.9303,54.0
7.32417,45.73583,53.0
7.30433,45.73444,56.0
7.76643,45.5966,55.0
6.97778,45.72917,77.0
8.83449244,45.58288714,47.0
8.75,45.61667,49.0
9.024167,45.626944,47.0
8.80417,45.83611,58.0
9.12583,45.72722,54.0
9.222778,45.809444,64.0
10.3725,46.470278,62.0
9.56639,46.13167,51.0
9.88028,46.16861,40.0
8.84861,45.54667,46.0
9.16698,45.5476,46.0
9.23583,45.47833,46.0
8.989444,45.282778,54.0
9.3275,45.482778,44.0
9.643889,45.690278,57.0
9.466667,45.683333,56.0
9.556389,45.4975,45.0
9.6115435,45.62058256,52.0
10.219444,45.515278,48.0
10.1775,45.873889,44.0
10.299444,45.248889,45.0
10.480833,45.463333,59.0
10.20083,45.655,48.0
8.875,45.114444,48.0
8.86889,45.06833,54.0
9.164722,45.193889,49.0
9.009444,45.000278,50.0
8.915,45.040833,48.0
10.007222,45.279167,43.0
9.705,45.36722,47.0
10.045833,45.142222,42.0
9.940278,45.148333,47.0
10.795556,45.160556,49.0
10.69194,45.41083,50.0
11.07083,44.99694,51.0
10.5172,44.92467,49.0
9.385,46.137222,46.0
9.395833,45.849444,58.0
9.496944,45.913056,96.0
9.286111,46.015833,63.0
9.34889,45.84083,63.0
9.58611,45.30861,45.0
9.66694,45.235,50.0
9.49528589,45.30278678,49.0
9.27444,45.58111,51.0
9.27611,45.60222,44.0
11.34197,46.49917,44.0
11.94403,46.79735,39.0
11.22324,46.26406,43.0
11.34014,46.43483,40.0
11.43317,46.58967,93.0
11.45389,46.05184,40.0
11.11343,46.19684,47.0
10.84449,45.89147,51.0
11.1262,46.06293,44.0
10.95804,46.08253,98.0
11.03778,45.59,84.0
11.311389,45.183611,51.0
11.28611,45.4,47.0
11.030096,45.43301,50.0
11.569167,45.848333,96.0
11.736667,45.760833,59.0
11.368611,45.714444,59.0
11.539722,45.560556,44.0
12.216944,46.141389,40.0
11.905833,46.030833,39.0
12.360833,46.1625,63.0
12.308056,45.890556,45.0
12.510278,45.836944,39.0
12.238611,45.6725,43.0
12.591667,45.630278,46.0
12.313889,45.429444,54.0
12.262222,45.499167,43.0
11.643056,45.29,56.0
11.665833,45.226667,53.0
11.841944,45.371944,43.0
11.902222,45.600278,45.0
12.06194,45.04667,49.0
11.553333,45.103889,47.0
11.791111,45.039722,45.0
13.30197,45.84208,52.0
13.47479,46.51005,52.0
12.93167,46.50722,79.0
13.393333,45.973333,56.0
13.011111,46.401944,55.0
13.2714,45.82199,52.0
13.26213,45.81078,55.0
13.24069,46.06612,51.0
13.2253,46.0351,55.0
13.42333,45.79944,52.0
13.544722,45.843889,74.0
13.54308,45.84299,71.0
13.48636,45.73162,63.0
13.52205,45.80518,58.0
13.50112,45.83643,56.0
13.7875,45.623056,55.0
13.85497,45.64731,68.0
12.9259,45.85693,53.0
12.61871,45.95767,45.0
7.86394,44.08196,84.0
7.77434,43.82001,70.0
8.20604,44.39703,53.0
8.43169,44.28709,65.0
8.48542,44.31538,77.0
8.94101,44.40759,66.0
8.99154,44.39489,71.0
8.79768,44.4284,77.0
9.18487,44.56468,72.0
9.89769,44.18309,76.0
9.84394,44.11603,54.0
9.79871,44.12365,59.0
10.019167,44.989444,47.0
9.36693,44.73473,78.0
9.83028,44.82389,64.0
9.669167,45.038333,50.0
10.370833,44.926111,43.0
10.288889,44.6575,60.0
10.33167,44.79361,46.0
10.733889,44.516111,57.0
10.663889,44.873056,49.0
10.664722,44.690833,45.0
10.430278,44.299722,74.0
10.88365,44.79943,44.0
11.17795,44.92784,47.0
10.90633,44.65061,44.0
10.79139,44.53944,51.0
11.355,44.48333,50.0
11.286111,44.5,44.0
11.639444,44.662222,51.0
10.926111,44.15,59.0
11.299722,44.738333,47.0
11.649722,44.825,48.0
11.961111,44.839722,53.0
11.942222,44.741667,55.0
11.981381,44.526485,42.0
12.332222,44.283889,53.0
11.873396,44.285612,48.0
12.225556,44.42,52.0
12.048889,44.219167,43.0
12.4025,44.095833,44.0
12.224722,43.9275,85.0
12.553333,44.0625,50.0
12.6275,43.932778,71.0
12.42,44.013056,58.0
12.401667,43.908056,61.0
10.45361,43.86889,67.0
11.00694,43.91611,50.0
11.323889,43.789167,64.0
11.09778,43.79306,51.0
10.401667,43.738889,51.0
10.881667,43.247778,76.0
10.771667,43.713056,41.0
11.88889,43.46111,55.0
11.90167,43.66028,70.0
11.09417,42.67056,78.0
12.57639,43.35278,55.0
12.205833,43.133056,57.0
12.36611,43.10306,50.0
12.46806,43.06694,65.0
12.52194,42.53417,55.0
12.136667,42.737222,51.0
12.62361,42.58194,58.0
12.91889,43.89333,38.0
12.63639,43.73056,78.0
13.50861,43.61167,63.0
13.34194,43.59889,44.0
12.95222,43.46806,77.0
13.67472,43.33556,69.0
13.42861,43.285,68.0
13.61944,42.84861,55.0
13.33667,42.90056,87.0
11.87643,42.736572,68.0
12.109196,42.42212,61.0
12.962063,42.572591,73.0
12.857794,42.404687,47.0
11.908954,42.157856,84.0
11.900004,42.160966,93.0
11.802485,42.091593,67.0
11.79834,42.099296,67.0
11.742706,42.159983,68.0
11.806455,42.086777,65.0
13.004056,41.730447,43.0
12.266327,41.889451,58.0
12.506947,41.932892,46.0
12.568652,41.857716,45.0
12.65848,41.929474,50.0
12.541618,41.886019,46.0
12.533667,41.947654,46.0
12.447588,41.906356,40.0
12.475387,41.893971,40.0
12.34559,41.874783,47.0
11.833492,42.042434,76.0
12.237041,41.768234,54.0
13.57049,41.223084,61.0
12.913043,41.464027,47.0
13.348977,41.639609,66.0
13.348977,41.639609,58.0
14.10361,41.77944,60.0
13.38306,42.36417,55.0
13.48944,42.33,56.0
13.35083,42.41278,65.0
13.70944,42.65722,41.0
14.06778,42.35806,70.0
14.1975,42.45194,56.0
14.23472,42.45639,44.0
14.02889,42.11944,77.0
14.13778,42.34611,63.0
14.27917,42.42139,58.0
14.35583,42.29306,73.0
14.674722,41.554167,72.0
14.672778,41.566944,43.0
14.525556,41.418889,90.0
14.993333,41.998056,39.0
14.208889,41.759444,62.0
14.033333,41.478889,44.0
14.34472,41.08444,71.0
14.37809,41.04592,50.0
14.28704,40.99513,47.0
14.15079,41.16857,59.0
14.42397,40.99052,53.0
14.83614,41.14691,58.0
14.77998,41.11575,41.0
14.29866,40.91463,58.0
14.25451,40.86369,49.0
14.17941,40.79889,68.0
14.34927,40.81588,56.0
14.12254,40.82291,59.0
14.48133,40.92431,60.0
14.43815,40.7606,59.0
15.09675,41.15604,97.0
14.78556,40.91417,71.0
14.97584,40.61107,70.0
14.70244,40.71099,52.0
15.29873,40.47059,86.0
14.77751,40.69536,43.0
14.80449,40.66142,65.0
15.44083,41.54666,64.0
15.945,41.66528,65.0
16.56028,40.82778,71.0
16.859722,41.100556,56.0
16.84526,41.1347,64.0
16.91972,40.95333,65.0
16.766111,41.107778,65.0
17.42389,40.53778,75.0
17.22528,40.42333,65.0
17.28389,40.41194,70.0
17.94361,40.65083,71.0
17.96055,40.64583,60.0
17.41583,40.74278,79.0
18.09507,40.34627,67.0
18.17361,40.16805,59.0
18.11611,40.45889,57.0
16.28611,41.31667,66.0
15.89143,40.288391,86.0
16.097537,40.364036,100.0
15.787626,41.046003,77.0
15.639965,40.9841,76.0
15.722746,41.067055,65.0
15.811729,40.62541,73.0
15.872893,40.643893,78.0
15.90458,40.314068,68.0
15.900698,40.334862,85.0
15.867364,40.324234,64.0
15.9548,40.315619,78.0
16.496209,40.485846,59.0
16.547146,40.686653,73.0
16.548431,40.420377,64.0
16.147441,40.620463,81.0
16.3868,39.48963,49.0
16.24517,39.3134,60.0
16.19397,39.71376,75.0
16.57925,38.918288,83.0
16.66921,38.8705,85.0
16.29517,38.95955,70.0
16.25518,38.22976,70.0
16.23452,38.39092,90.0
16.07022,38.39986,66.0
15.63879,38.10495,48.0
17.11417,39.06808,58.0
17.01034,39.18752,71.0
16.08024,38.66458,79.0
12.546894,38.012365,67.0
13.302198,38.120539,72.0
13.346531,38.130696,41.0
13.11859,38.050162,56.0
13.687987,37.977911,76.0
15.546512,38.174341,58.0
15.249112,38.190608,62.0
15.247567,38.231469,82.0
15.271443,38.174624,64.0
13.593963,37.307047,85.0
14.344965,37.022486,69.0
14.223844,37.075693,74.0
14.281463,37.564125,94.0
15.081122,37.529257,
15.010788,37.515714,63.0
14.734022,36.917119,72.0
15.128831,37.182374,94.0
15.262506,37.098447,40.0
8.324722,40.553333,44.0
9.491667,40.9275,51.0
8.405278,40.831389,65.0
8.55139,40.71028,40.0
8.57611,40.72444,68.0
8.275278,40.809167,70.0
8.773056,40.256389,71.0
9.32889,40.31889,60.0
9.0325,40.23722,63.0
8.995833,39.226944,57.0
9.011389,39.286389,50.0
9.115,39.235833,43.0
9.188056,39.232778,55.0
9.016667,39.07,54.0
9.008889,39.066667,52.0
9.136389,39.260556,51.0
8.59472,39.90917,41.0
8.59778,39.89889,57.0
8.521389,39.165556,54.0
8.541389,39.311111,61.0
9.015278,39.443611,66.0
8.386111,39.203333,68.0
9.216389,39.8425,87.0
