Lon,Lat,media_yy
7.658,45.1546,47.0
7.2454,45.4302,85.0
7.8375,45.0028,49.0
7.5602,45.1758,47.0
7.878,45.4512,42.0
7.7116,45.1763,40.0
7.5496,45.0069,54.0
7.0501,45.1391,61.0
7.6259,45.0419,40.0
7.6491,45.0249,40.0
7.6362,44.9513,36.0
8.2835,45.7132,44.0
8.4024,45.3189,48.0
8.6206,45.4383,39.0
8.0333,44.7037,39.0
7.5382,44.3818,62.0
7.4262,44.7197,41.0
8.1695,44.4122,45.0
8.2055,44.9089,42.0
8.3103,44.808,66.0
8.6232,44.9203,53.0
9.0524,44.7633,69.0
8.0564,45.5588,49.0
8.1876,45.569,50.0
8.1598,45.6642,57.0
8.2559,46.3148,79.0
8.2921,46.1276,40.0
8.5655,45.9303,51.0
7.29889,45.73028,48.0
7.32417,45.73583,52.0
7.30433,45.73444,52.0
7.76643,45.5966,56.0
6.97778,45.72917,82.0
8.83449244,45.58288714,43.0
8.75,45.61667,43.0
9.024167,45.626944,45.0
8.80417,45.83611,56.0
9.12583,45.72722,51.0
9.222778,45.809444,57.0
10.3725,46.470278,56.0
9.56639,46.13167,53.0
9.88028,46.16861,31.0
8.84861,45.54667,46.0
9.16698,45.5476,41.0
9.23583,45.47833,43.0
8.989444,45.282778,47.0
9.3275,45.482778,40.0
9.643889,45.690278,49.0
9.466667,45.683333,54.0
9.556389,45.4975,39.0
9.6115435,45.62058256,48.0
10.219444,45.515278,46.0
10.1775,45.873889,37.0
10.299444,45.248889,43.0
10.480833,45.463333,48.0
10.20083,45.655,41.0
8.875,45.114444,47.0
8.86889,45.06833,49.0
9.164722,45.193889,46.0
9.009444,45.000278,48.0
8.915,45.040833,46.0
10.007222,45.279167,43.0
9.705,45.36722,46.0
10.045833,45.142222,45.0
9.940278,45.148333,46.0
10.795556,45.160556,46.0
10.69194,45.41083,44.0
11.07083,44.99694,49.0
10.5172,44.92467,47.0
9.385,46.137222,43.0
9.395833,45.849444,55.0
9.496944,45.913056,89.0
9.286111,46.015833,55.0
9.34889,45.84083,53.0
9.58611,45.30861,46.0
9.66694,45.235,48.0
9.49528589,45.30278678,47.0
9.27444,45.58111,46.0
9.27611,45.60222,45.0
11.34197,46.49917,39.0
11.94403,46.79735,36.0
11.22711,46.26733,39.0
11.34014,46.43483,38.0
11.43317,46.58967,90.0
11.45389,46.05184,36.0
11.11343,46.19684,43.0
10.84449,45.89147,46.0
11.1262,46.06293,39.0
10.95804,46.08253,92.0
11.03778,45.59,81.0
11.311389,45.183611,49.0
11.28611,45.4,44.0
11.030096,45.43301,49.0
11.569167,45.848333,91.0
11.736667,45.760833,51.0
11.368611,45.714444,56.0
11.539722,45.560556,41.0
11.521944,45.531944,34.0
12.216944,46.141389,44.0
11.905833,46.030833,36.0
12.360833,46.1625,59.0
12.308056,45.890556,45.0
12.510278,45.836944,40.0
12.238611,45.6725,37.0
12.591667,45.630278,41.0
12.313889,45.429444,53.0
12.262222,45.499167,42.0
11.643056,45.29,53.0
11.665833,45.226667,50.0
11.841944,45.371944,42.0
11.902222,45.600278,43.0
12.06194,45.04667,46.0
11.553333,45.103889,49.0
11.791111,45.039722,45.0
13.30197,45.84208,50.0
13.47479,46.51005,46.0
12.93167,46.50722,82.0
13.393333,45.973333,54.0
13.011111,46.401944,57.0
13.2714,45.82199,51.0
13.26213,45.81078,54.0
13.24069,46.06612,53.0
13.2253,46.0351,52.0
13.42333,45.79944,46.0
13.544722,45.843889,73.0
13.54308,45.84299,63.0
13.48636,45.73162,52.0
13.54163,45.72765,71.0
13.52205,45.80518,50.0
13.50112,45.83643,46.0
13.7875,45.623056,62.0
12.9259,45.85693,52.0
12.61871,45.95767,43.0
8.20604,44.39703,54.0
8.43169,44.28709,65.0
8.48542,44.31538,71.0
8.92737,44.41816,88.0
8.94101,44.40759,95.0
8.99154,44.39489,79.0
8.79768,44.4284,95.0
9.18487,44.56468,87.0
9.89769,44.18309,67.0
9.84394,44.11603,46.0
9.79871,44.12365,62.0
10.019167,44.989444,39.0
9.36693,44.73473,64.0
9.83028,44.82389,54.0
9.669167,45.038333,42.0
10.370833,44.926111,45.0
10.288889,44.6575,54.0
10.33167,44.79361,49.0
10.733889,44.516111,52.0
10.663889,44.873056,45.0
10.664722,44.690833,41.0
10.430278,44.299722,74.0
10.88365,44.79943,40.0
11.17795,44.92784,47.0
10.90633,44.65061,44.0
10.79139,44.53944,48.0
11.355,44.48333,45.0
11.286111,44.5,40.0
11.639444,44.662222,44.0
10.926111,44.15,52.0
11.299722,44.738333,48.0
11.649722,44.825,50.0
11.961111,44.839722,54.0
11.942222,44.741667,53.0
11.981381,44.526485,39.0
12.332222,44.283889,51.0
11.873396,44.285612,49.0
12.225556,44.42,51.0
12.048889,44.219167,43.0
