Lon,Lat,media_yy
7.658,45.1546,45.0
7.2454,45.4302,87.0
7.8375,45.0028,49.0
7.5602,45.1758,54.0
7.878,45.4512,54.0
7.7116,45.1763,43.0
7.5496,45.0069,53.0
7.0501,45.1391,59.0
7.6259,45.0419,59.0
7.6491,45.0249,41.0
7.6362,44.9513,44.0
8.2835,45.7132,52.0
8.4024,45.3189,47.0
8.6206,45.4383,37.0
8.0333,44.7037,42.0
7.5382,44.3818,61.0
7.4262,44.7197,
8.1695,44.4122,49.0
8.2055,44.9089,43.0
8.3103,44.808,66.0
8.6232,44.9203,36.0
9.0524,44.7633,75.0
8.0564,45.5588,54.0
8.1876,45.569,51.0
8.1598,45.6642,56.0
8.2559,46.3148,79.0
8.2921,46.1276,16.0
8.5655,45.9303,53.0
7.29889,45.73028,50.0
7.32417,45.73583,48.0
7.76643,45.5966,55.0
7.23528,45.81583,73.0
6.97778,45.72917,81.0
8.83449244,45.58288714,47.0
8.75,45.61667,42.0
9.024167,45.626944,46.0
8.80417,45.83611,56.0
9.12583,45.72722,38.0
10.3725,46.470278,60.0
9.56639,46.13167,55.0
9.88028,46.16861,38.0
8.84861,45.54667,47.0
9.23583,45.47833,39.0
9.3275,45.482778,39.0
9.643889,45.690278,57.0
9.466667,45.683333,55.0
9.556389,45.4975,42.0
9.6115435,45.62058256,47.0
10.219444,45.515278,48.0
10.1775,45.873889,40.0
10.299444,45.248889,44.0
10.480833,45.463333,58.0
10.20083,45.655,41.0
9.164722,45.193889,40.0
9.009444,45.000278,42.0
8.915,45.040833,45.0
9.705,45.36722,46.0
10.045833,45.142222,40.0
10.06924181,45.10954275,42.0
9.940278,45.148333,46.0
10.795556,45.160556,52.0
10.69194,45.41083,54.0
11.07083,44.99694,50.0
9.385,46.137222,44.0
9.395833,45.849444,59.0
9.496944,45.913056,93.0
9.286111,46.015833,53.0
9.34889,45.84083,61.0
9.58611,45.30861,47.0
9.66694,45.235,42.0
9.49528589,45.30278678,38.0
9.27444,45.58111,43.0
9.27611,45.60222,47.0
11.34197,46.49917,41.0
11.94403,46.79735,39.0
11.22711,46.26733,39.0
11.34014,46.43483,40.0
11.43317,46.58967,91.0
11.45389,46.05184,40.0
11.11343,46.19684,45.0
10.84449,45.89147,48.0
11.03941,45.89244,49.0
11.1262,46.06293,41.0
10.95804,46.08253,96.0
11.03778,45.59,83.0
11.311389,45.183611,44.0
11.28611,45.4,45.0
10.91222,45.4625,45.0
11.569167,45.848333,86.0
11.736667,45.760833,57.0
11.368611,45.714444,62.0
11.539722,45.560556,43.0
11.521944,45.531944,42.0
12.216944,46.141389,43.0
11.905833,46.030833,39.0
12.360833,46.1625,58.0
12.308056,45.890556,45.0
12.510278,45.836944,51.0
12.238611,45.6725,46.0
12.591667,45.630278,45.0
12.313889,45.429444,42.0
12.262222,45.499167,46.0
11.643056,45.29,57.0
11.665833,45.226667,57.0
11.841944,45.371944,48.0
11.902222,45.600278,57.0
11.553333,45.103889,50.0
11.791111,45.039722,51.0
13.30197,45.84208,55.0
13.06689,46.22101,62.0
12.93167,46.50722,95.0
13.393333,45.973333,64.0
13.011111,46.401944,66.0
13.2714,45.82199,60.0
13.26213,45.81078,59.0
13.24069,46.06612,60.0
13.2253,46.0351,62.0
13.42333,45.79944,42.0
13.544722,45.843889,80.0
13.54308,45.84299,41.0
13.48636,45.73162,37.0
13.528889,45.81,69.0
13.52205,45.80518,30.0
13.50112,45.83643,15.0
13.7875,45.623056,35.0
13.79451,45.61874,64.0
13.77222,45.65722,55.0
12.9259,45.85693,28.0
12.61871,45.95767,50.0
12.65806,45.96222,49.0
7.77434,43.82001,62.0
8.2015,44.39048,49.0
8.43169,44.28709,63.0
8.48542,44.31538,69.0
8.92737,44.41816,57.0
8.94101,44.40759,79.0
8.99154,44.39489,64.0
8.9459,44.55387,53.0
9.18487,44.56468,85.0
9.89769,44.18309,64.0
9.84394,44.11603,49.0
9.79871,44.12365,58.0
10.019167,44.989444,41.0
9.36693,44.73473,67.0
9.83028,44.82389,50.0
9.669167,45.038333,42.0
10.370833,44.926111,49.0
10.288889,44.6575,61.0
10.33167,44.79361,47.0
10.733889,44.516111,40.0
10.663889,44.873056,49.0
10.664722,44.690833,45.0
10.430278,44.299722,79.0
10.88365,44.79943,42.0
11.17795,44.92784,49.0
10.90633,44.65061,45.0
11.355,44.48333,53.0
11.286111,44.5,42.0
11.639444,44.662222,47.0
10.926111,44.15,64.0
11.299722,44.738333,43.0
11.649722,44.825,47.0
11.961111,44.839722,54.0
11.942222,44.741667,47.0
11.981381,44.526485,47.0
12.332222,44.283889,49.0
11.87056,44.28333,39.0
12.225556,44.42,23.0
12.048889,44.219167,41.0
12.4025,44.095833,29.0
12.224722,43.9275,70.0
12.648333,43.843889,41.0
12.553333,44.0625,34.0
12.6275,43.932778,66.0
12.42,44.013056,44.0
10.45361,43.86889,60.0
11.00694,43.91611,45.0
11.323889,43.789167,55.0
10.401667,43.738889,50.0
10.881667,43.247778,75.0
10.771667,43.713056,37.0
11.88889,43.46111,54.0
