Regione,Provincia,Lon,Lat,media_yy
Emilia-Romagna,Bologna,11.355,44.48333,46.0
Emilia-Romagna,Bologna,11.32888889,44.51222222,39.0
Emilia-Romagna,Bologna,11.639444,44.662222,52.0
Emilia-Romagna,Ferrara,11.5825,44.85111111,49.0
Emilia-Romagna,Ferrara,11.961111,44.839722,49.0
Emilia-Romagna,Ravenna,11.94361111,44.3925,41.0
Emilia-Romagna,Ravenna,11.87056,44.28333,51.0
Emilia-Romagna,Ravenna,12.20666667,44.42333333,44.0
Emilia-Romagna,Ravenna,12.225556,44.42,49.0
Emilia-Romagna,Forli'-Cesena,12.048889,44.219167,54.0
Emilia-Romagna,Rimini,12.65944444,44.00555556,16.0
Emilia-Romagna,Rimini,12.553333,44.0625,16.0
Toscana,Firenze,11.323889,43.789167,60.0
Toscana,Firenze,11.24917,43.76528,49.0
Toscana,Firenze,11.19278,43.75694,39.0
Toscana,Livorno,10.41361111,43.50083333,87.0
Toscana,Pisa,10.401667,43.738889,46.0
Toscana,Prato,11.09194,43.87278,41.0
Umbria,Perugia,12.36611,43.10306,48.0
Umbria,Perugia,12.44194,43.08889,43.0
Marche,Ancona,13.34194,43.59889,40.0
Marche,Ancona,13.3875,43.63333,60.0
Marche,Ancona,13.37056,43.63611,54.0
Marche,Ancona,13.39,43.62056,53.0
Lazio,Rieti,12.962063,42.572591,109.0
Lazio,Rieti,12.857794,42.404687,27.0
Lazio,Roma,13.004056,41.730447,35.0
Lazio,Roma,12.469563,41.947448,28.0
Lazio,Roma,12.46805556,41.86305556,23.0
Lazio,Roma,12.50895,41.883075,35.0
Lazio,Roma,12.266327,41.889451,50.0
Lazio,Roma,12.506947,41.932892,45.0
Lazio,Roma,12.65848,41.929474,41.0
Lazio,Roma,12.541618,41.886019,43.0
Lazio,Roma,13.04361111,41.69583333,45.0
Lazio,Latina,12.913043,41.464027,50.0
Lazio,Frosinone,13.338286,41.727296,53.0
Lazio,Frosinone,13.348977,41.639609,63.0
Abruzzo,Pescara,14.1975,42.45194,47.0
