Component 1,Component 2,labels
50.633076,-7.3756433,Moderate
36.85017,-12.979056,Fair
28.120358,-14.583582,Fair
25.082594,9.377913,Fair
23.73244,7.2440257,Fair
32.115932,15.553835,Moderate
41.19838,-12.43722,Moderate
-6.123206,17.695068,Fair
-6.8143373,18.863981,Fair
-53.9531,-9.284352,Fair
-53.24287,-10.029915,Fair
-52.43737,-10.003288,Fair
-41.259487,-20.141016,Fair
-52.58713,-10.76103,Fair
-52.865993,-9.613459,Fair
34.20603,-21.095913,Fair
5.3683558,-29.071146,Good
25.644163,-6.710276,Moderate
24.750452,-7.773098,Moderate
21.533813,-3.8844428,Fair
8.355055,-10.783016,Fair
7.7365713,-14.24222,Fair
3.4015138,-13.118835,Fair
9.019216,-12.931418,Fair
14.312318,3.0821106,Fair
68.5642,-2.1716323,Poor
68.28164,-1.1662724,Poor
68.42414,-2.9555979,Poor
66.39101,-4.5598407,Moderate
68.890144,-1.1467341,Poor
65.215904,0.639877,Poor
61.51916,-1.6539518,Poor
67.555756,0.33106855,Poor
64.311966,-0.35070804,Poor
65.442955,-1.1950762,Poor
49.599644,-8.363272,Moderate
40.00346,-12.378505,Moderate
40.780052,5.793858,Moderate
38.877636,-12.088247,Fair
43.5732,-8.39866,Moderate
29.847755,18.206497,Moderate
39.085693,-14.3783045,Fair
49.5439,10.171222,Poor
35.150974,10.114541,Moderate
50.186558,9.956086,Poor
33.34725,10.7509775,Moderate
4.50198,21.236027,Fair
12.658018,20.574707,Moderate
27.198523,-18.153713,Fair
29.66201,16.55234,Moderate
70.02887,6.4367533,Poor
50.478115,11.184429,Poor
55.26102,6.9598217,Poor
48.12172,13.299999,Poor
57.287437,11.288545,Poor
49.797962,9.503938,Moderate
31.332556,16.236435,Moderate
15.104945,-2.930675,Fair
34.18585,18.751282,Moderate
13.896111,20.254093,Moderate
33.23331,20.33177,Moderate
11.942597,20.756317,Moderate
-0.16990319,17.517067,Fair
1.2060206,16.839832,Fair
1.8660802,14.985699,Fair
0.021195617,21.686232,Fair
70.00007,2.7948594,Poor
67.8175,3.858735,Poor
61.61835,9.687511,Poor
63.416183,9.981568,Poor
64.32801,3.0112612,Poor
69.58726,4.446769,Poor
68.61172,1.6465558,Poor
56.8084,11.609833,Poor
44.437412,20.723406,Moderate
54.237286,15.310546,Poor
38.302666,3.2403328,Moderate
49.575844,2.872543,Moderate
40.58111,-7.1162834,Moderate
39.39267,10.648195,Moderate
39.331795,19.919184,Moderate
24.92552,15.409331,Moderate
38.058975,19.9834,Moderate
64.44131,3.8894007,Poor
53.158287,-3.6197324,Moderate
62.762386,4.215781,Poor
58.46046,5.551998,Poor
63.105164,5.092767,Poor
48.62162,10.853278,Moderate
44.28698,9.996795,Moderate
38.27693,14.784308,Moderate
33.390675,15.745952,Moderate
34.052345,18.114012,Moderate
59.03893,-0.69155854,Poor
48.042095,-11.234396,Moderate
57.0449,4.2895684,Poor
38.73901,5.172483,Moderate
56.38505,5.034199,Poor
39.63951,9.70146,Moderate
38.71808,9.430861,Moderate
29.91599,5.3300147,Moderate
27.589613,9.919845,Moderate
33.006172,20.184183,Moderate
66.23907,8.724951,Poor
40.175766,7.3375225,Moderate
42.93063,5.023027,Moderate
34.68868,8.2544365,Moderate
54.38951,4.754905,Poor
37.355896,9.119231,Moderate
35.35347,10.753484,Moderate
37.895477,12.629563,Moderate
31.547127,6.413069,Fair
25.424698,3.7216282,Fair
66.57851,2.119619,Poor
