Regione,Provincia,Lon,Lat,media_yy
Campania,Napoli,14.27167,40.85361,24.0
Campania,Avellino,14.78222,40.92333,17.0
Campania,Salerno,14.76972,40.68389,13.0
Puglia,Taranto,17.22583,40.48861,15.0
Puglia,Lecce,18.02972,40.40444,15.0
Puglia,Lecce,18.17361,40.16805,16.0
Puglia,Lecce,18.17306,40.36444,12.0
Puglia,Lecce,18.3041666666667,40.1325,14.0
Calabria,Cosenza,16.24517,39.3134,13.0
Calabria,Reggio di Calabria,16.25518,38.22976,13.0
Calabria,Crotone,17.11417,39.06808,15.0
,,,,14.0
